numero,pregunta,A,B,C,D,letra_correcta,texto_respuesta_correcta,bloque_bruto
267,"De acuerdo con la LRJCA, el recurso contencioso-administrativo es admisible, entre otros, en relación con los
actos expresos y presuntos de la Administración pública que pongan fin a la vía administrativa:","Ya sean definitivos o de trámite, indistintamente","Ya sean definitivos o de trámite, si estos últimos deciden directa o indirectamente el fondo del asunto o producen indefensión a la parte demandante","Ya sean definitivos o de trámite, si estos últimos deciden directa o indirectamente el fondo del asunto, determinan la imposibilidad de continuar el procedimiento, producen indefensión o perjuicio irreparable a derechos e intereses legítimos",Ninguno de los anteriores,C,"Ya sean definitivos o de trámite, si estos últimos deciden directa o indirectamente el fondo del asunto, determinan la imposibilidad de continuar el procedimiento, producen indefensión o perjuicio irreparable a derechos e intereses legítimos","267. De acuerdo con la LRJCA, el recurso contencioso-administrativo es admisible, entre otros, en relación con los
actos expresos y presuntos de la Administración pública que pongan fin a la vía administrativa:
A) Ya sean definitivos o de trámite, indistintamente
B) Ya sean definitivos o de trámite, si estos últimos deciden directa o indirectamente el fondo del asunto o
producen indefensión a la parte demandante
C) Ya sean definitivos o de trámite, si estos últimos deciden directa o indirectamente el fondo del asunto,
determinan la imposibilidad de continuar el procedimiento, producen indefensión o perjuicio irreparable a
derechos e intereses legítimos
D) Ninguno de los anteriores
Respuesta Correcta: C"
268,"En cuanto a la defensa y representación de las partes, según la LJCA, los funcionarios públicos:",Siempre pueden comparecer por sí mismos,"Pueden comparecer por sí mismos en defensa de sus derechos estatutarios, cuando se refieran a cuestiones de personal que no impliquen separación de empleados públicos inamovibles",Pueden comparecer por sí mismos en sus actuaciones ante órganos colegiados,No pueden comparecer por sí mismos en ningún caso,B,"Pueden comparecer por sí mismos en defensa de sus derechos estatutarios, cuando se refieran a cuestiones de personal que no impliquen separación de empleados públicos inamovibles","268. En cuanto a la defensa y representación de las partes, según la LJCA, los funcionarios públicos:
A) Siempre pueden comparecer por sí mismos
B) Pueden comparecer por sí mismos en defensa de sus derechos estatutarios, cuando se refieran a
cuestiones de personal que no impliquen separación de empleados públicos inamovibles
C) Pueden comparecer por sí mismos en sus actuaciones ante órganos colegiados
D) No pueden comparecer por sí mismos en ningún caso
Respuesta Correcta: B"
269,"No pueden interponer recurso contencioso-administrativo contra la actividad de una Administración pública,
según dispone el artículo 20 de la Ley 29/1998, de 13 de julio, reguladora de la Jurisdicción Contencioso-
administrativa:",Los particulares cuando obren por delegación o como meros agentes o mandatarios de ella,"Las Entidades de Derecho público que sean dependientes o estén vinculadas al Estado, las Comunidades Autónomas o las Entidades locales, respecto de la actividad de la Administración de la que dependan. Se exceptúan aquellos a los que por Ley se haya dotado de un estatuto específico de autonomía respecto de dicha Administración",Todas las anteriores son correctas,Todas las anteriores son incorrectas,C,Todas las anteriores son correctas,"269. No pueden interponer recurso contencioso-administrativo contra la actividad de una Administración pública,
según dispone el artículo 20 de la Ley 29/1998, de 13 de julio, reguladora de la Jurisdicción Contencioso-
administrativa:
A) Los particulares cuando obren por delegación o como meros agentes o mandatarios de ella
B) Las Entidades de Derecho público que sean dependientes o estén vinculadas al Estado, las Comunidades
Autónomas o las Entidades locales, respecto de la actividad de la Administración de la que dependan. Se
exceptúan aquellos a los que por Ley se haya dotado de un estatuto específico de autonomía respecto de
dicha Administración
C) Todas las anteriores son correctas
D) Todas las anteriores son incorrectas
Respuesta Correcta: C"
270,"La Administración Pública recurrida se entiende emplazada en el procedimiento contencioso-administrativo
cuando:",Envíe al Juzgado o Tribunal el expediente que le haya reclamado,El recurso se notifica a la Abogacía del Estado o servicio jurídico correspondiente de la Administración Pública recurrida,El Juzgado o Tribunal le reclama el expediente,Cuando la Administración pública envía el expediente,C,El Juzgado o Tribunal le reclama el expediente,"270. La Administración Pública recurrida se entiende emplazada en el procedimiento contencioso-administrativo
cuando:
A) Envíe al Juzgado o Tribunal el expediente que le haya reclamado
B) El recurso se notifica a la Abogacía del Estado o servicio jurídico correspondiente de la Administración
Pública recurrida
C) El Juzgado o Tribunal le reclama el expediente
D) Cuando la Administración pública envía el expediente
Respuesta Correcta: C"
271,"Señale la respuesta correcta, de conformidad con el artículo 74 de la LJCA, en relación con el desistimiento:","Si fuesen varios los recurrentes, el desistimiento de uno de ellos supondrá la finalización del procedimiento para la totalidad",Implica la condena en costas del recurrente que desiste,El recurrente podrá desistir del recurso en cualquier momento anterior a la sentencia,No se puede desistir de un recurso contencioso administrativo interpuesto,C,El recurrente podrá desistir del recurso en cualquier momento anterior a la sentencia,"271. Señale la respuesta correcta, de conformidad con el artículo 74 de la LJCA, en relación con el desistimiento:
A) Si fuesen varios los recurrentes, el desistimiento de uno de ellos supondrá la finalización del procedimiento
para la totalidad
B) Implica la condena en costas del recurrente que desiste
C) El recurrente podrá desistir del recurso en cualquier momento anterior a la sentencia
D) No se puede desistir de un recurso contencioso administrativo interpuesto
Respuesta Correcta: C"
272,Señale la respuesta correcta en relación al objeto de la Ley General Presupuestaria:,"Según el artículo 1 de la Ley 47/2003, de 26 de noviembre, General Presupuestaria, esta ley tiene por objeto la regulación del régimen presupuestario, económico-financiero, de contabilidad, intervención y de control financiero del sector público estatal","Según el artículo 2 de la Ley 47/2003, de 26 de noviembre, General Presupuestaria, esta ley tiene por objeto la regulación del régimen presupuestario, económico-financiero, intervención y de control financiero del sector público estatal","Según el artículo 1 de la Ley 47/2003, de 26 de noviembre, General Presupuestaria, esta ley únicamente tiene por objeto la regulación del régimen presupuestario y de   contabilidad del sector público estatal","Según el artículo 3 de la Ley 47/2003, de 26 de noviembre, General Presupuestaria, esta ley tiene por objeto la regulación del régimen presupuestario y de control financiero del sector público estatal",A,"Según el artículo 1 de la Ley 47/2003, de 26 de noviembre, General Presupuestaria, esta ley tiene por objeto la regulación del régimen presupuestario, económico-financiero, de contabilidad, intervención y de control financiero del sector público estatal","272. Señale la respuesta correcta en relación al objeto de la Ley General Presupuestaria:
A) Según el artículo 1 de la Ley 47/2003, de 26 de noviembre, General Presupuestaria, esta ley tiene por objeto
la regulación del régimen presupuestario, económico-financiero, de contabilidad, intervención y de control
financiero del sector público estatal

B) Según el artículo 2 de la Ley 47/2003, de 26 de noviembre, General Presupuestaria, esta ley tiene por objeto
la regulación del régimen presupuestario, económico-financiero, intervención y de control financiero del
sector público estatal
C) Según el artículo 1 de la Ley 47/2003, de 26 de noviembre, General Presupuestaria, esta ley únicamente
tiene por objeto la regulación del régimen presupuestario y de   contabilidad del sector público estatal
D) Según el artículo 3 de la Ley 47/2003, de 26 de noviembre, General Presupuestaria, esta ley tiene por objeto
la regulación del régimen presupuestario y de control financiero del sector público estatal
Respuesta Correcta: A"
273,Señale la respuesta incorrecta en relación a los tributos:,"Según la Ley 47/2003, de 26 de noviembre, General Presupuestaria, los tributos son derechos de naturaleza pública de la Hacienda Pública estatal","La auditoría de la cuenta de los tributos estatales se realizará mensualmente, de acuerdo con el procedimiento que por la Intervención General de la Administración del Estado se establezca al efecto","En particular, la aplicación de los tributos se ajustará a lo dispuesto en la Ley General Tributaria de acuerdo con su sistema de fuentes",Los Presupuestos Generales del Estado determinarán La estimación de los beneficios fiscales que afecten a los tributos del Estado,B,"La auditoría de la cuenta de los tributos estatales se realizará mensualmente, de acuerdo con el procedimiento que por la Intervención General de la Administración del Estado se establezca al efecto","273. Señale la respuesta incorrecta en relación a los tributos:
A) Según la Ley 47/2003, de 26 de noviembre, General Presupuestaria, los tributos son derechos de naturaleza
pública de la Hacienda Pública estatal
B) La auditoría de la cuenta de los tributos estatales se realizará mensualmente, de acuerdo con el
procedimiento que por la Intervención General de la Administración del Estado se establezca al efecto
C) En particular, la aplicación de los tributos se ajustará a lo dispuesto en la Ley General Tributaria de acuerdo
con su sistema de fuentes
D) Los Presupuestos Generales del Estado determinarán La estimación de los beneficios fiscales que afecten a
los tributos del Estado
Respuesta Correcta: B"
274,Señale la respuesta incorrecta en relación con la obligación tributaria:,La obligación tributaria principal tiene por objeto el pago de la cuota tributaria,El devengo es el momento en el que se entiende realizado el hecho imponible y en el que se produce el nacimiento de la obligación tributaria principal,"Son supuestos de exención aquellos en que, a pesar de realizarse el hecho imponible, la ley exime del cumplimiento de la obligación tributaria accesoria","El contribuyente podrá deducir de la obligación tributaria principal el importe de los pagos a cuenta soportados, salvo que la ley propia de cada tributo establezca la posibilidad de deducir una cantidad distinta a dicho importe",C,"Son supuestos de exención aquellos en que, a pesar de realizarse el hecho imponible, la ley exime del cumplimiento de la obligación tributaria accesoria","274. Señale la respuesta incorrecta en relación con la obligación tributaria:
A) La obligación tributaria principal tiene por objeto el pago de la cuota tributaria
B) El devengo es el momento en el que se entiende realizado el hecho imponible y en el que se produce el
nacimiento de la obligación tributaria principal
C) Son supuestos de exención aquellos en que, a pesar de realizarse el hecho imponible, la ley exime del
cumplimiento de la obligación tributaria accesoria
D) El contribuyente podrá deducir de la obligación tributaria principal el importe de los pagos a cuenta
soportados, salvo que la ley propia de cada tributo establezca la posibilidad de deducir una cantidad distinta
a dicho importe
Respuesta Correcta: C"
275,"Indique la respuesta correcta: Según la Ley 58/2003, de 17 de diciembre, General Tributaria, los actos y
actuaciones de aplicación de los tributos y los actos de imposición de sanciones tributarias podrán revisarse,
mediante:",Los procedimientos especiales de revisión,El recurso de reposición,Las reclamaciones económico-administrativas,Todas son ciertas,D,Todas son ciertas,"275. Indique la respuesta correcta: Según la Ley 58/2003, de 17 de diciembre, General Tributaria, los actos y
actuaciones de aplicación de los tributos y los actos de imposición de sanciones tributarias podrán revisarse,
mediante:
A) Los procedimientos especiales de revisión

B) El recurso de reposición
C) Las reclamaciones económico-administrativas
D) Todas son ciertas
Respuesta Correcta: D"
276,No son procedimientos especiales de revisión de los actos y actuaciones de aplicación de los tributos:,Revisión de actos anulables,Declaración de lesividad de actos anulables,Revocación,Devolución de ingresos indebidos,A,Revisión de actos anulables,"276. No son procedimientos especiales de revisión de los actos y actuaciones de aplicación de los tributos:
A) Revisión de actos anulables
B) Declaración de lesividad de actos anulables
C) Revocación
D) Devolución de ingresos indebidos
Respuesta Correcta: A"
277,"Señale la respuesta incorrecta en relación a la revocación de los actos de aplicación de los tributos y de
imposición de sanciones:",La revocación sólo será posible mientras no haya transcurrido el plazo de prescripción,"El procedimiento de revocación se iniciará siempre de oficio o a instancia del interesado, y será competente para declararla el órgano que se determine reglamentariamente, que deberá ser distinto del órgano que dictó el acto. En el expediente se dará audiencia a los interesados y deberá incluirse un informe del órgano con funciones de asesoramiento jurídico sobre la procedencia de la revocación del acto","El plazo máximo para notificar resolución expresa será de seis meses desde la notificación del acuerdo de iniciación del procedimiento. Transcurrido el plazo establecido en el párrafo anterior sin que se hubiera notificado resolución expresa, se producirá la caducidad del procedimiento",Las resoluciones que se dicten en este procedimiento pondrán fin a la vía administrativa,B,"El procedimiento de revocación se iniciará siempre de oficio o a instancia del interesado, y será competente para declararla el órgano que se determine reglamentariamente, que deberá ser distinto del órgano que dictó el acto. En el expediente se dará audiencia a los interesados y deberá incluirse un informe del órgano con funciones de asesoramiento jurídico sobre la procedencia de la revocación del acto","277. Señale la respuesta incorrecta en relación a la revocación de los actos de aplicación de los tributos y de
imposición de sanciones:
A) La revocación sólo será posible mientras no haya transcurrido el plazo de prescripción
B) El procedimiento de revocación se iniciará siempre de oficio o a instancia del interesado, y será competente
para declararla el órgano que se determine reglamentariamente, que deberá ser distinto del órgano que
dictó el acto. En el expediente se dará audiencia a los interesados y deberá incluirse un informe del órgano
con funciones de asesoramiento jurídico sobre la procedencia de la revocación del acto
C) El plazo máximo para notificar resolución expresa será de seis meses desde la notificación del acuerdo de
iniciación del procedimiento. Transcurrido el plazo establecido en el párrafo anterior sin que se hubiera
notificado resolución expresa, se producirá la caducidad del procedimiento
D) Las resoluciones que se dicten en este procedimiento pondrán fin a la vía administrativa
Respuesta Correcta: B"
278,"Señale la respuesta correcta en relación a los actos dictados por la Administración tributaria susceptibles de
reclamación económico-administrativa:",Podrán ser objeto de recurso potestativo de reposición,"El recurso de reposición deberá interponerse, en su caso, con carácter previo a la reclamación económico- administrativa. Si el interesado interpusiera el recurso de reposición no podrá promover la reclamación económico-administrativa hasta que el recurso se haya resuelto de forma expresa o hasta que pueda considerarlo desestimado por silencio administrativo","Cuando en el plazo establecido para recurrir se hubieran interpuesto recurso de reposición y reclamación económico-administrativa que tuvieran como objeto el mismo acto, se tramitará el presentado en primer lugar y se declarará inadmisible el segundo",Todas son correctas,D,Todas son correctas,"278. Señale la respuesta correcta en relación a los actos dictados por la Administración tributaria susceptibles de
reclamación económico-administrativa:
A) Podrán ser objeto de recurso potestativo de reposición
B) El recurso de reposición deberá interponerse, en su caso, con carácter previo a la reclamación económico-
administrativa. Si el interesado interpusiera el recurso de reposición no podrá promover la reclamación
económico-administrativa hasta que el recurso se haya resuelto de forma expresa o hasta que pueda
considerarlo desestimado por silencio administrativo
C) Cuando en el plazo establecido para recurrir se hubieran interpuesto recurso de reposición y reclamación
económico-administrativa que tuvieran como objeto el mismo acto, se tramitará el presentado en primer

lugar y se declarará inadmisible el segundo
D) Todas son correctas
Respuesta Correcta: D"
279,Podrá reclamarse en vía económico-administrativa en relación con las siguientes materias:,La aplicación de los tributos del Estado o de los recargos establecidos sobre ellos y la imposición de sanciones tributarias que realicen la Administración General del Estado y las entidades de derecho público vinculadas o dependientes de la misma,La aplicación de los tributos del Estado o de los recargos establecidos sobre ellos y la imposición de sanciones tributarias que realicen las Administraciones tributarias de las Comunidades Autónomas y de las Ciudades con Estatuto de Autonomía,Cualquier otra que se establezca por precepto legal del Estado expreso,Todas son correctas,D,Todas son correctas,"279. Podrá reclamarse en vía económico-administrativa en relación con las siguientes materias:
A) La aplicación de los tributos del Estado o de los recargos establecidos sobre ellos y la imposición de
sanciones tributarias que realicen la Administración General del Estado y las entidades de derecho público
vinculadas o dependientes de la misma
B) La aplicación de los tributos del Estado o de los recargos establecidos sobre ellos y la imposición de
sanciones tributarias que realicen las Administraciones tributarias de las Comunidades Autónomas y de las
Ciudades con Estatuto de Autonomía
C) Cualquier otra que se establezca por precepto legal del Estado expreso
D) Todas son correctas
Respuesta Correcta: D"
280,"De acuerdo a la Ley General Tributaria, sobre qué actos no se admiten reclamaciones económico-
administrativas:","Los que den lugar a reclamación en vía administrativa previa a la judicial, civil o laboral o pongan fin a dicha vía.",Los que den lugar a reclamación en vía administrativa previa a la judicial o penal o pongan fin a dicha vía.,Los que den lugar a reclamación en vía administrativa previa a la judicial aunque no pongan fin a dicha vía.,Todas son correctas,A,"Los que den lugar a reclamación en vía administrativa previa a la judicial, civil o laboral o pongan fin a dicha vía.","280. De acuerdo a la Ley General Tributaria, sobre qué actos no se admiten reclamaciones económico-
administrativas:
A) Los que den lugar a reclamación en vía administrativa previa a la judicial, civil o laboral o pongan fin a dicha
vía.
B) Los que den lugar a reclamación en vía administrativa previa a la judicial o penal o pongan fin a dicha vía.
C) Los que den lugar a reclamación en vía administrativa previa a la judicial aunque no pongan fin a dicha vía.
D) Todas son correctas
Respuesta Correcta: A"
281,Señale la respuesta incorrecta en relación a los órganos económico- administrativos:,"El conocimiento de las reclamaciones económico-administrativas corresponderá con exclusividad a los órganos económico-administrativos, que actuarán con dependencia funcional en el ejercicio de sus competencias.",Tiene la consideración de órgano económico-administrativo la Sala Especial para la Unificación de Doctrina.,"Corresponde a cada Comunidad Autónoma y cada Ciudad con Estatuto de Autonomía determinar su estructura administrativa para el ejercicio de la función revisora en el ámbito de las reclamaciones económico-administrativas, todo ello sin perjuicio de la labor unificadora del Estado que será ejercida por el Tribunal Económico-Administrativo Central y por la Sala Especial para la Unificación de Doctrina establecida en el apartado anterior.",La competencia de los órganos económico-administrativos será irrenunciable e improrrogable y no podrá ser alterada por la voluntad de los interesados.,A,"El conocimiento de las reclamaciones económico-administrativas corresponderá con exclusividad a los órganos económico-administrativos, que actuarán con dependencia funcional en el ejercicio de sus competencias.","281. Señale la respuesta incorrecta en relación a los órganos económico- administrativos:
A) El conocimiento de las reclamaciones económico-administrativas corresponderá con exclusividad a los
órganos económico-administrativos, que actuarán con dependencia funcional en el ejercicio de sus
competencias.
B) Tiene la consideración de órgano económico-administrativo la Sala Especial para la Unificación de Doctrina.

C) Corresponde a cada Comunidad Autónoma y cada Ciudad con Estatuto de Autonomía determinar su
estructura administrativa para el ejercicio de la función revisora en el ámbito de las reclamaciones
económico-administrativas, todo ello sin perjuicio de la labor unificadora del Estado que será ejercida por el
Tribunal Económico-Administrativo Central y por la Sala Especial para la Unificación de Doctrina establecida
en el apartado anterior.
D) La competencia de los órganos económico-administrativos será irrenunciable e improrrogable y no podrá ser
alterada por la voluntad de los interesados.
Respuesta Correcta: A"
282,"Quiénes están legitimados, según la Ley General Tributaria, para promover las reclamaciones económico-
administrativas:","Los obligados tributarios,  los sujetos infractores y los denunciantes.","Los obligados tributarios  y Los particulares, cuando obren por delegación de la Administración o como agentes o mandatarios de ella.","Los obligados tributarios, los sujetos infractores y cualquier otra persona cuyos intereses legítimos resulten afectados por el acto o la actuación tributaria.","Los obligados tributarios, los sujetos infractores  y los que asuman obligaciones tributarias en virtud de pacto o contrato.",C,"Los obligados tributarios, los sujetos infractores y cualquier otra persona cuyos intereses legítimos resulten afectados por el acto o la actuación tributaria.","282. Quiénes están legitimados, según la Ley General Tributaria, para promover las reclamaciones económico-
administrativas:
A) Los obligados tributarios,  los sujetos infractores y los denunciantes.
B) Los obligados tributarios  y Los particulares, cuando obren por delegación de la Administración o como
agentes o mandatarios de ella.
C) Los obligados tributarios, los sujetos infractores y cualquier otra persona cuyos intereses legítimos resulten
afectados por el acto o la actuación tributaria.
D) Los obligados tributarios, los sujetos infractores  y los que asuman obligaciones tributarias en virtud de pacto
o contrato.
Respuesta Correcta: C"
283,"Señale la respuesta incorrecta sobre las competencias del Tribunal Económico-Administrativo Central, que
conocerá:","En segunda instancia, de los recursos de alzada ordinarios que se interpongan contra las resoluciones dictadas en primera instancia por los tribunales económico-administrativos regionales y locales y, en su caso, como consecuencia de la labor unificadora de criterio que corresponde al Estado, contra las resoluciones dictadas por los órganos económico-administrativos de las Comunidades Autónomas y de las Ciudades con Estatuto de Autonomía.","En segunda instancia, de las reclamaciones económico-administrativas que se interpongan contra los actos administrativos dictados por los órganos centrales del Ministerio de Economía y Hacienda u otros departamentos ministeriales, de la Agencia Estatal de Administración Tributaria y de las entidades de derecho público vinculadas o dependientes de la Administración General del Estado, así como, en su caso, contra los actos dictados por los órganos superiores de la Administración de las Comunidades Autónomas y de las Ciudades con Estatuto de Autonomía. También conocerá en única instancia de las reclamaciones en las que deba oírse o se haya oído como trámite previo al Consejo de Estado.",De la rectificación de errores en los que incurran sus propias resoluciones.,"Como consecuencia de su labor unificadora de criterio, de los recursos extraordinarios de alzada para unificación de criterio previstos en el artículo 242 de la Ley 58/2003, de 17 de diciembre, General Tributaria.",B,"En segunda instancia, de las reclamaciones económico-administrativas que se interpongan contra los actos administrativos dictados por los órganos centrales del Ministerio de Economía y Hacienda u otros departamentos ministeriales, de la Agencia Estatal de Administración Tributaria y de las entidades de derecho público vinculadas o dependientes de la Administración General del Estado, así como, en su caso, contra los actos dictados por los órganos superiores de la Administración de las Comunidades Autónomas y de las Ciudades con Estatuto de Autonomía. También conocerá en única instancia de las reclamaciones en las que deba oírse o se haya oído como trámite previo al Consejo de Estado.","283. Señale la respuesta incorrecta sobre las competencias del Tribunal Económico-Administrativo Central, que
conocerá:
A) En segunda instancia, de los recursos de alzada ordinarios que se interpongan contra las resoluciones
dictadas en primera instancia por los tribunales económico-administrativos regionales y locales y, en su
caso, como consecuencia de la labor unificadora de criterio que corresponde al Estado, contra las
resoluciones dictadas por los órganos económico-administrativos de las Comunidades Autónomas y de las
Ciudades con Estatuto de Autonomía.
B) En segunda instancia, de las reclamaciones económico-administrativas que se interpongan contra los actos
administrativos dictados por los órganos centrales del Ministerio de Economía y Hacienda u otros
departamentos ministeriales, de la Agencia Estatal de Administración Tributaria y de las entidades de
derecho público vinculadas o dependientes de la Administración General del Estado, así como, en su caso,
contra los actos dictados por los órganos superiores de la Administración de las Comunidades Autónomas y
de las Ciudades con Estatuto de Autonomía. También conocerá en única instancia de las reclamaciones en
las que deba oírse o se haya oído como trámite previo al Consejo de Estado.

C) De la rectificación de errores en los que incurran sus propias resoluciones.
D) Como consecuencia de su labor unificadora de criterio, de los recursos extraordinarios de alzada para
unificación de criterio previstos en el artículo 242 de la Ley 58/2003, de 17 de diciembre, General Tributaria.
Respuesta Correcta: B"
284,"De acuerdo con la Ley General Tributaria, son actos susceptibles de reclamación económico administrativa:",Los que provisional o definitivamente  declaren una obligación o un deber.,Los que provisional o definitivamente reconozcan o denieguen un derecho.,"Los de trámite que decidan, directa o indirectamente, el fondo del asunto o pongan término al procedimiento.",Todas son correctas.,D,Todas son correctas.,"284. De acuerdo con la Ley General Tributaria, son actos susceptibles de reclamación económico administrativa:
A) Los que provisional o definitivamente  declaren una obligación o un deber.
B) Los que provisional o definitivamente reconozcan o denieguen un derecho.
C) Los de trámite que decidan, directa o indirectamente, el fondo del asunto o pongan término al procedimiento.
D) Todas son correctas.
Respuesta Correcta: D"
285,Señale la respuesta correcta en relación a la suspensión de la ejecutividad del acto impugnado:,"La ejecución del acto impugnado quedará suspendida automáticamente a instancia del interesado sin que se requiera garantizar el importe de dicho acto ni los intereses de demora que genere la suspensión, en los términos que se establezcan reglamentariamente.","La ejecución del acto impugnado quedará suspendida automáticamente a instancia del interesado si se garantiza el importe de dicho acto, los intereses de demora que genere la suspensión y los recargos que procederían en caso de ejecución de la garantía, en los términos que se establezcan reglamentariamente.","La ejecución del acto impugnado sólo se entenderá suspendida si una vez instada por el interesado, la Administración dicta Resolución expresa de admisión de dicha solicitud, y previa presentación de garantía que cubra el importe de dicho acto, los intereses de demora que genere la suspensión y los recargos que procederían en caso de ejecución de la garantía en los términos que se establezcan reglamentariamente.",En ningún caso el interesado puede solicitar la suspensión de la ejecutividad del acto impugnado.,B,"La ejecución del acto impugnado quedará suspendida automáticamente a instancia del interesado si se garantiza el importe de dicho acto, los intereses de demora que genere la suspensión y los recargos que procederían en caso de ejecución de la garantía, en los términos que se establezcan reglamentariamente.","285. Señale la respuesta correcta en relación a la suspensión de la ejecutividad del acto impugnado:
A) La ejecución del acto impugnado quedará suspendida automáticamente a instancia del interesado sin que
se requiera garantizar el importe de dicho acto ni los intereses de demora que genere la suspensión, en los
términos que se establezcan reglamentariamente.
B) La ejecución del acto impugnado quedará suspendida automáticamente a instancia del interesado si se
garantiza el importe de dicho acto, los intereses de demora que genere la suspensión y los recargos que
procederían en caso de ejecución de la garantía, en los términos que se establezcan reglamentariamente.
C) La ejecución del acto impugnado sólo se entenderá suspendida si una vez instada por el interesado, la
Administración dicta Resolución expresa de admisión de dicha solicitud, y previa presentación de garantía
que cubra el importe de dicho acto, los intereses de demora que genere la suspensión y los recargos que
procederían en caso de ejecución de la garantía en los términos que se establezcan reglamentariamente.
D) En ningún caso el interesado puede solicitar la suspensión de la ejecutividad del acto impugnado.
Respuesta Correcta: B"
286,"En materia de aplicación de los tributos, de conformidad con lo dispuesto en el artículo 227, son susceptibles de
reclamación:","Las liquidaciones definitivas pero no las provisionales, así como los actos dictados en el procedimiento liquidatorio.","Las liquidaciones provisionales pero no las definitivas, así como los actos dictados en los procedimientos liquidatorios.","Las liquidaciones provisionales o definitivas , así como los actos dictados en el procedimiento recaudatorio.",Ninguna es correcta.,C,"Las liquidaciones provisionales o definitivas , así como los actos dictados en el procedimiento recaudatorio.","286. En materia de aplicación de los tributos, de conformidad con lo dispuesto en el artículo 227, son susceptibles de
reclamación:
A) Las liquidaciones definitivas pero no las provisionales, así como los actos dictados en el procedimiento
liquidatorio.
B) Las liquidaciones provisionales pero no las definitivas, así como los actos dictados en los procedimientos
liquidatorios.
C) Las liquidaciones provisionales o definitivas , así como los actos dictados en el procedimiento recaudatorio.
D) Ninguna es correcta.
Respuesta Correcta: C"
287,"Señala la respuesta incorrecta respecto a qué actuaciones u omisiones de los particulares en materia tributaria
son reclamables:",Las relativas a las obligaciones de repercutir y soportar la repercusión prevista legalmente.,Las relativas a las obligaciones de practicar y soportar retenciones o ingresos a cuenta.,"Las relativas a la obligación de expedir, entregar y rectificar facturas que incumbe a los empresarios y profesionales.",Las derivadas de las relaciones entre el representante y el contribuyente.,D,Las derivadas de las relaciones entre el representante y el contribuyente.,"287. Señala la respuesta incorrecta respecto a qué actuaciones u omisiones de los particulares en materia tributaria
son reclamables:
A) Las relativas a las obligaciones de repercutir y soportar la repercusión prevista legalmente.
B) Las relativas a las obligaciones de practicar y soportar retenciones o ingresos a cuenta.
C) Las relativas a la obligación de expedir, entregar y rectificar facturas que incumbe a los empresarios y
profesionales.
D) Las derivadas de las relaciones entre el representante y el contribuyente.
Respuesta Correcta: D"
288,Señale la respuesta incorrecta en relación a los órganos económico-administrativos:,"El conocimiento de las reclamaciones económico-administrativas corresponderá con exclusividad a los órganos económico-administrativos, que actuarán con dependencia funcional en el ejercicio de sus competencias",Tiene la consideración de órgano económico-administrativo la Sala Especial para la Unificación de Doctrina,"Corresponde a cada Comunidad Autónoma y cada Ciudad con Estatuto de Autonomía determinar su estructura administrativa para el ejercicio de la función revisora en el ámbito de las reclamaciones económico-administrativas, todo ello sin perjuicio de la labor unificadora del Estado que será ejercida por el Tribunal Económico-Administrativo Central y por la Sala Especial para la Unificación de Doctrina establecida en el apartado anterior",La competencia de los órganos económico-administrativos será irrenunciable e improrrogable y no podrá ser alterada por la voluntad de los interesados,A,"El conocimiento de las reclamaciones económico-administrativas corresponderá con exclusividad a los órganos económico-administrativos, que actuarán con dependencia funcional en el ejercicio de sus competencias","288. Señale la respuesta incorrecta en relación a los órganos económico-administrativos:
A) El conocimiento de las reclamaciones económico-administrativas corresponderá con exclusividad a los
órganos económico-administrativos, que actuarán con dependencia funcional en el ejercicio de sus
competencias
B) Tiene la consideración de órgano económico-administrativo la Sala Especial para la Unificación de Doctrina
C) Corresponde a cada Comunidad Autónoma y cada Ciudad con Estatuto de Autonomía determinar su
estructura administrativa para el ejercicio de la función revisora en el ámbito de las reclamaciones
económico-administrativas, todo ello sin perjuicio de la labor unificadora del Estado que será ejercida por el
Tribunal Económico-Administrativo Central y por la Sala Especial para la Unificación de Doctrina establecida
en el apartado anterior

D) La competencia de los órganos económico-administrativos será irrenunciable e improrrogable y no podrá ser
alterada por la voluntad de los interesados
Respuesta Correcta: A"
